Date,Dry,Average,Wet
24-Mar,1,4,8
25-Mar,1,4,8
26-Mar,1,4,8
27-Mar,1,4,8
28-Mar,1,4,8
29-Mar,1,4,8
30-Mar,1,4,8
31-Mar,1,4,8
1-Apr,1,4,8
2-Apr,1,4,8
3-Apr,1,4,8
4-Apr,1,4,8
5-Apr,1,4,8
6-Apr,1,4,8
7-Apr,1,4,8
8-Apr,1,4,8
9-Apr,1,4,8
10-Apr,1,4,8
11-Apr,1,4,8
12-Apr,1,4,8
13-Apr,1,4,8
14-Apr,1,4,8
15-Apr,1,4,8
16-Apr,1,4,8
17-Apr,1,4,8
18-Apr,1,4,8
19-Apr,1,4,8
20-Apr,1,4,8
21-Apr,1,4,8
22-Apr,1,4,8
23-Apr,1,4,8
24-Apr,1,4,8
25-Apr,1,4,8
26-Apr,1,4,8
27-Apr,1,4,8
28-Apr,1,4,8
29-Apr,1,4,8
30-Apr,1,4,8
1-May,1,4,8
2-May,1,4,8
3-May,1,4,8
4-May,1,4,8
5-May,1,4,8
6-May,1,4,8
7-May,1,4,8
8-May,1,4,8
9-May,1,4,8
10-May,1,4,8
11-May,1,4,8
12-May,1,4,8
13-May,1,4,8
14-May,1,4,8
15-May,1,4,8
16-May,1,4,8
17-May,1,4,8
18-May,1,4,8
19-May,1,4,8
20-May,1,4,8
21-May,1,4,8
22-May,1,4,8
23-May,1,4,8
24-May,1,4,8
25-May,1,4,8
26-May,1,4,8
27-May,1,4,8
28-May,1,4,8
29-May,1,4,8
30-May,1,4,8
31-May,1,4,8
1-Jun,1,4,8
2-Jun,1,4,8
3-Jun,1,4,8
4-Jun,1,4,8
5-Jun,1,4,8
6-Jun,1,4,8
7-Jun,1,4,8
8-Jun,1,4,8
9-Jun,1,4,8
10-Jun,1,4,8
11-Jun,1,4,8
12-Jun,1,4,8
13-Jun,1,4,8
14-Jun,1,4,8
15-Jun,1,4,8
16-Jun,1,4,8
17-Jun,1,4,8
18-Jun,1,4,8
19-Jun,1,4,8
20-Jun,1,4,8
21-Jun,1,4,8
22-Jun,1,4,8
23-Jun,1,4,8
24-Jun,1,4,8
25-Jun,1,4,8
26-Jun,1,4,8
27-Jun,1,4,8
28-Jun,1,4,8
29-Jun,1,4,8
30-Jun,1,4,8
1-Jul,1,4,8
2-Jul,1,4,8
3-Jul,1,4,8
4-Jul,1,4,8
5-Jul,1,4,8
6-Jul,1,4,8
7-Jul,1,4,8
8-Jul,1,4,8
9-Jul,1,4,8
10-Jul,1,4,8
11-Jul,1,4,8
12-Jul,1,4,8
13-Jul,1,4,8
14-Jul,1,4,8
15-Jul,1,4,8
16-Jul,1,4,8
17-Jul,1,4,8
18-Jul,1,4,8
19-Jul,1,4,8
20-Jul,1,4,8
21-Jul,1,4,8
22-Jul,1,4,8
23-Jul,1,4,8
24-Jul,1,4,8
25-Jul,1,4,8
26-Jul,1,4,8
27-Jul,1,4,8
28-Jul,1,4,8
29-Jul,1,4,8
30-Jul,1,4,8
31-Jul,1,4,8
1-Aug,1,4,8
2-Aug,1,4,8
3-Aug,1,4,8
4-Aug,1,4,8
5-Aug,1,4,8
6-Aug,1,4,8
7-Aug,1,4,8
8-Aug,1,4,8
9-Aug,1,4,8
10-Aug,1,4,8
11-Aug,1,4,8
12-Aug,1,4,8
13-Aug,1,4,8
14-Aug,1,4,8
15-Aug,1,4,8
16-Aug,1,4,8
17-Aug,1,4,8
18-Aug,1,4,8
19-Aug,1,4,8
20-Aug,1,4,8
21-Aug,1,4,8
22-Aug,1,4,8
23-Aug,1,4,8
24-Aug,1,4,8
25-Aug,1,4,8
26-Aug,1,4,8
27-Aug,1,4,8
28-Aug,1,4,8
29-Aug,1,4,8
30-Aug,1,4,8
31-Aug,1,4,8
1-Sep,1,4,8
2-Sep,1,4,8
3-Sep,1,4,8
4-Sep,1,4,8
5-Sep,1,4,8
6-Sep,1,4,8
7-Sep,1,4,8
8-Sep,1,4,8
9-Sep,1,4,8
10-Sep,1,4,8
11-Sep,1,4,8
12-Sep,1,4,8
13-Sep,1,4,8
14-Sep,1,4,8
15-Sep,1,4,8
16-Sep,1,4,8
17-Sep,1,4,8
18-Sep,1,4,8
19-Sep,1,4,8
20-Sep,1,4,8
21-Sep,1,4,8
22-Sep,1,4,8
23-Sep,1,4,8
24-Sep,1,4,8
25-Sep,1,4,8
26-Sep,1,4,8
27-Sep,1,4,8
28-Sep,1,4,8
29-Sep,1,4,8
30-Sep,1,4,8
1-Oct,1,4,8
2-Oct,1,4,8
3-Oct,1,4,8
4-Oct,1,4,8
5-Oct,1,4,8
6-Oct,1,4,8
7-Oct,1,4,8
8-Oct,1,4,8
9-Oct,1,4,8
10-Oct,1,4,8
11-Oct,1,4,8
12-Oct,1,4,8
13-Oct,1,4,8
14-Oct,1,4,8
15-Oct,1,4,8
16-Oct,1,4,8
17-Oct,1,4,8
18-Oct,1,4,8
19-Oct,1,4,8
20-Oct,1,4,8
21-Oct,1,4,8
22-Oct,1,4,8
23-Oct,1,4,8
24-Oct,1,4,8
25-Oct,1,4,8
26-Oct,1,4,8
27-Oct,1,4,8
28-Oct,1,4,8
29-Oct,1,4,8
30-Oct,1,4,8
31-Oct,1,4,8
1-Nov,1,4,8
2-Nov,1,4,8
3-Nov,1,4,8
4-Nov,1,4,8
5-Nov,1,4,8
6-Nov,1,4,8
7-Nov,1,4,8
8-Nov,1,4,8
9-Nov,1,4,8
10-Nov,1,4,8
11-Nov,1,4,8
12-Nov,1,4,8
13-Nov,1,4,8
14-Nov,1,4,8
15-Nov,1,4,8
16-Nov,1,4,8
17-Nov,1,4,8
18-Nov,1,4,8
19-Nov,1,4,8
20-Nov,1,4,8
21-Nov,1,4,8
22-Nov,1,4,8
23-Nov,1,4,8
24-Nov,1,4,8
25-Nov,1,4,8
26-Nov,1,4,8
27-Nov,1,4,8
28-Nov,1,4,8
29-Nov,1,4,8
30-Nov,1,4,8
1-Dec,1,4,8
2-Dec,1,4,8
3-Dec,1,4,8
4-Dec,1,4,8
5-Dec,1,4,8
6-Dec,1,4,8
7-Dec,1,4,8
8-Dec,1,4,8
9-Dec,1,4,8
10-Dec,1,4,8
11-Dec,1,4,8
12-Dec,1,4,8
13-Dec,1,4,8
14-Dec,1,4,8
15-Dec,1,4,8
16-Dec,1,4,8
17-Dec,1,4,8
18-Dec,1,4,8
19-Dec,1,4,8
20-Dec,1,4,8
21-Dec,1,4,8
22-Dec,1,4,8
23-Dec,1,4,8
24-Dec,1,4,8
25-Dec,1,4,8
26-Dec,1,4,8
27-Dec,1,4,8
28-Dec,1,4,8
29-Dec,1,4,8
30-Dec,1,4,8
31-Dec,1,4,8
